,date,close,high,low,open,volume,daily_return,log_return,sma_20,sma_50,sma_200,volatility_20,volatility_annual,cumulative_return,rolling_max,drawdown,max_drawdown
0,2023-01-03,123.09603118896484,128.83401111884518,122.21023430585915,128.2238013285794,112117500,,,,,,,,,,,
1,2023-01-04,124.36565399169922,126.62935597280962,123.10585750129947,124.88728777203856,89113600,0.01031408397550515,0.010261256743876564,,,,,,1.0103140839755052,1.0103140839755052,0.0,0.0
2,2023-01-05,123.04680633544922,125.75340309203497,122.79091532129203,125.12350481122068,80962700,-0.010604597120825843,-0.01066122657169625,,,,,,0.9996001101494487,1.0103140839755052,-0.010604597120825836,-0.010604597120825836
3,2023-01-06,127.57422637939453,128.23365008945973,122.91888331158243,124.02120925912487,87754700,0.0367942913658621,0.03613354058785056,,,,,,1.0363796878516354,1.0363796878516354,0.0,-0.010604597120825836
4,2023-01-09,128.09585571289062,131.30441322455866,127.83996466106093,128.4108124086458,70790800,0.004088830074068461,0.004080493525142925,,,,,,1.0406172682874768,1.0406172682874768,0.0,-0.010604597120825836
5,2023-01-10,128.66668701171875,129.18832083166095,126.09787998496417,128.20410381019116,63896200,0.004456282333657802,0.004446382507589768,,,,,,1.0452545526362456,1.0452545526362456,0.0,-0.010604597120825836
6,2023-01-11,131.3831329345703,131.4028064616691,128.40095662151043,129.1784814447806,69458900,0.021112270673481648,0.02089249461956012,,,,,,1.067322249674191,1.067322249674191,0.0,-0.010604597120825836
7,2023-01-12,131.30441284179688,132.14098840377943,129.36550386584642,131.76699610111268,71379600,-0.0005991643753284759,-0.0005993439460346365,,,,,,1.0666827482051908,1.067322249674191,-0.0005991643753284183,-0.010604597120825836
8,2023-01-13,132.63307189941406,132.7905502170586,129.58200833933589,129.94616380817476,57809700,0.010118921587334961,0.010068068067746412,,,,,,1.077476427292842,1.077476427292842,0.0,-0.010604597120825836
9,2023-01-17,133.79449462890625,135.12317889828967,132.0130638191195,132.70201288672166,63646600,0.008756660106409742,0.00871854291619618,,,,,,1.0869115221393142,1.0869115221393142,0.0,-0.010604597120825836
10,2023-01-18,133.07598876953125,136.42232060237055,132.8988218980733,134.6605787592018,69672800,-0.005370219913516272,-0.005384691377691978,,,,,,1.0810745682388914,1.0869115221393142,-0.00537021991351627,-0.010604597120825836
11,2023-01-19,133.13502502441406,134.09955338686564,131.65869966602656,131.96380450388668,58280400,0.00044362815131937516,0.00044352977744425856,,,,,,1.0815541633510375,1.0869115221393142,-0.004928974142929386,-0.010604597120825836
12,2023-01-20,135.69400024414062,135.84164181281548,132.10161400912494,133.14488168206822,80223600,0.01922090163168777,0.019038513505862532,,,,,,1.1023426095341502,1.1023426095341502,0.0,-0.010604597120825836
13,2023-01-23,138.8828582763672,141.0579844042408,135.72351517113088,135.94004410758743,81760300,0.023500361301820094,0.023228479125319845,,,,,,1.128248059136594,1.128248059136594,0.0,-0.010604597120825836
14,2023-01-24,140.2804718017578,140.90053342355856,138.0856717213938,138.0955084866108,66435100,0.010063254333443128,0.010012956945027443,,,,,,1.1396019063068992,1.1396019063068992,0.0,-0.010604597120825836
15,2023-01-25,139.62103271484375,140.18202862963406,136.61916767862735,138.6663409653264,65799300,-0.004700861627026542,-0.004711945426290688,,,,,,1.1342447954354549,1.1396019063068992,-0.004700861627026458,-0.010604597120825836
16,2023-01-26,141.68789672851562,141.9733130723702,139.66039693887691,140.91035682918778,54105100,0.014803385804294633,0.014694885162625551,,,,,,1.1510354587387992,1.1510354587387992,0.0,-0.010604597120825836
17,2023-01-27,143.62677001953125,144.9062550377642,140.82176076743906,140.90049992434123,70555800,0.013684113716012414,0.013591331700119932,,,,,,1.1667863588473435,1.1667863588473435,0.0,-0.010604597120825836
18,2023-01-30,140.7430419921875,143.2527985417942,140.59541543784155,142.6721140707524,64015300,-0.020077928557131863,-0.020282229415166483,,,,,,1.1433597056929705,1.1667863588473435,-0.02007792855713186,-0.02007792855713186
19,2023-01-31,142.01266479492188,142.06187864867766,140.03439402480078,140.4477633640219,65874500,0.009020856624690987,0.008980411747224724,133.6360061645508,,,,,1.1536737896684757,1.1667863588473435,-0.011238192047275563,-0.02007792855713186
20,2023-02-01,143.13467407226562,144.29605796571016,139.08955653554688,141.69772563249788,77663600,0.007900769124810303,0.007869721474753165,134.63793830871583,,,0.012757881802307918,0.20252509502917956,1.1627886999259913,1.1667863588473435,-0.0034262132832110098,-0.02007792855713186
21,2023-02-02,148.43963623046875,148.79393998354684,145.83145179927072,146.54992610628193,118339000,0.03706273265082349,0.03639242177720151,135.8416374206543,,,0.014354428570093149,0.2278694892534418,1.205884826640747,1.205884826640747,0.0,-0.02007792855713186
22,2023-02-03,152.06153869628906,154.8960886893848,145.496812581912,145.6936529941079,154357300,0.02439983388396949,0.024106913183877428,137.2923740386963,,,0.013969197984783816,0.22175414329657572,1.2353082160939806,1.2353082160939806,0.0,-0.02007792855713186
23,2023-02-06,149.33523559570312,150.68362304726807,148.40023248441526,150.16198925829823,69858300,-0.017928945898878168,-0.018091616726823776,138.38042449951172,,,0.013955416765609518,0.22153537322438493,1.213160441919192,1.2353082160939806,-0.017928945898878133,-0.02007792855713186
24,2023-02-07,152.20913696289062,152.77998456473935,148.26243261630023,148.26243261630023,83322600,0.01924463008159738,0.019061794203565317,139.58608856201172,,,0.014142221583027779,0.22450080776797018,1.236507265853554,1.236507265853554,0.0,-0.02007792855713186
25,2023-02-08,149.52224731445312,152.14026818212696,148.78408455222657,151.45131927430748,64120100,-0.017652617326728404,-0.01781028300606509,140.62886657714844,,,0.01531169949397874,0.24306569406492767,1.214679676267722,1.236507265853554,-0.017652617326728372,-0.02007792855713186
26,2023-02-09,148.4888153076172,151.89421276586904,148.04592065726195,151.35289040745275,56007100,-0.006911560155075658,-0.006935555614923692,141.4841506958008,,,0.015297164288143126,0.24283495482555068,1.2062843446160498,1.236507265853554,-0.02444217035525589,-0.02444217035525589
27,2023-02-10,148.85353088378906,149.17882019931434,147.08909918660703,147.32567733632254,57450700,0.002456182140158525,0.0024531706549684664,142.3616065979004,,,0.015240326019390545,0.24193267528112597,1.2092471986792486,1.236507265853554,-0.022046022637390684,-0.02444217035525589
28,2023-02-13,151.65298461914062,152.0571182724141,148.7648180243575,148.79438841262413,62199000,0.01880676742251497,0.018632106643815285,143.3126022338867,,,0.015473878072906613,0.24564019919187777,1.231989229501137,1.236507265853554,-0.0036538696352085916,-0.02444217035525589
29,2023-02-14,151.01226806640625,151.5741355635304,148.7056873791277,149.9476888936107,61707600,-0.004224885875760753,-0.004233835923608195,144.17349090576172,,,0.01566022098881772,0.24859830127635424,1.2267842156063282,1.236507265853554,-0.007863318328755711,-0.02444217035525589
30,2023-02-15,153.11183166503906,153.27940219693946,150.6968215839401,150.92353288699502,65573800,0.013903265115583485,0.013807501323892949,145.1752830505371,,,0.015503828380781254,0.24611564558983448,1.2438405217955162,1.2438405217955162,0.0,-0.02444217035525589
31,2023-02-16,151.51498413085938,154.09756497312395,151.16012443154224,151.3178281549916,68167900,-0.010429288950530524,-0.010484055098652814,146.0942810058594,,,0.01593599905121288,0.2529761422972233,1.2308681495853322,1.2438405217955162,-0.010429288950530437,-0.02444217035525589
32,2023-02-17,150.3715362548828,150.8151070910907,148.69581585093724,150.17439533222245,59144100,-0.007546764318629995,-0.0075753852322557585,146.8281578063965,,,0.015944906737848784,0.2531175474387963,1.2215790777531035,1.2438405217955162,-0.01789734588343989,-0.02444217035525589
33,2023-02-21,146.3596954345703,149.13943294111823,146.29070285864162,148.05513496887053,58867200,-0.026679522735688188,-0.027041880765240146,147.20199966430664,,,0.016847539060627335,0.26744639134720005,1.1889879309747486,1.2438405217955162,-0.04409937597272229,-0.04409937597272229
34,2023-02-22,146.7835235595703,147.80866542554767,145.0585140913541,146.74408634882758,51011300,0.0028957980798032246,0.0028916133333842854,147.52715225219725,,,0.01676000793233136,0.2660568777625118,1.1924309999421745,1.2438405217955162,-0.04133128078118142,-0.04409937597272229
