Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2023-01-03,123.09602355957031,128.8340031338152,122.21022673136561,128.22379338136977,112117500
2023-01-04,124.36566162109375,126.62936374107429,123.10586505340991,124.88729543343348,89113600
2023-01-05,123.04679870605469,125.7533952948206,122.79090770776376,125.12349705306252,80962700
2023-01-06,127.57423400878906,128.23365775829015,122.91889066257082,124.02121667603627,87754700
2023-01-09,128.0958251953125,131.30438194257326,127.83993420444634,128.41078181603234,70790800
2023-01-10,128.6667022705078,129.18833615231142,126.09789493911427,128.20411901412172,63896200
2023-01-11,131.38316345214844,131.40283698381694,128.40098644639082,129.17851145026387,69458900
2023-01-12,131.30441284179688,132.14098840377943,129.36550386584642,131.76699610111268,71379600
2023-01-13,132.63307189941406,132.7905502170586,129.58200833933589,129.94616380817476,57809700
2023-01-17,133.79446411132812,135.12314807764807,132.01303370787318,132.7019826183309,63646600
2023-01-18,133.0760040283203,136.42233624485746,132.898837136548,134.6605941996835,69672800
2023-01-19,133.13502502441406,134.09955338686564,131.65869966602656,131.96380450388668,58280400
2023-01-20,135.69400024414062,135.84164181281548,132.10161400912494,133.14488168206822,80223600
2023-01-23,138.88287353515625,141.0579999020067,135.72353008280908,135.94005904305521,81760300
2023-01-24,140.28045654296875,140.90051809732327,138.0856567013407,138.0954934654877,66435100
2023-01-25,139.6210479736328,140.1820439497328,136.61918260935104,138.6663561197799,65799300
2023-01-26,141.68789672851562,141.9733130723702,139.66039693887691,140.91035682918778,54105100
2023-01-27,143.6267852783203,144.9062704324847,140.82177572822627,140.90051489349364,70555800
2023-01-30,140.7430419921875,143.2527985417942,140.59541543784155,142.6721140707524,64015300
2023-01-31,142.01268005371094,142.06189391275458,140.0344090710312,140.4477784546675,65874500
2023-02-01,143.13467407226562,144.29605796571016,139.08955653554688,141.69772563249788,77663600
2023-02-02,148.43960571289062,148.7939093931277,145.831421817907,146.5498959772077,118339000
2023-02-03,152.06155395507812,154.89610423261004,145.49682718195612,145.6936676139042,154357300
2023-02-06,149.3352508544922,150.6836384438328,148.40024764766747,150.1620046015634,69858300
2023-02-07,152.2091522216797,152.77999988075524,148.2624474794368,148.2624474794368,83322600
2023-02-08,149.52223205566406,152.14025265616812,148.78406936876726,151.45130381865607,64120100
2023-02-09,148.4888153076172,151.89421276586904,148.04592065726195,151.35289040745275,56007100
2023-02-10,148.85353088378906,149.17882019931434,147.08909918660703,147.32567733632254,57450700
2023-02-13,151.65298461914062,152.0571182724141,148.7648180243575,148.79438841262413,62199000
2023-02-14,151.0122833251953,151.57415087909246,148.70570240485208,149.94770404483108,61707600
2023-02-15,153.1118621826172,153.279432747917,150.696851620169,150.923562968411,65573800
2023-02-16,151.5149688720703,154.09754945424802,151.16010920849044,151.31781291605773,68167900
2023-02-17,150.37155151367188,150.81512239489066,148.69583093968438,150.17441057100683,59144100
2023-02-21,146.35968017578125,149.1394173925265,146.29068760704538,148.05511953332274,58867200
2023-02-22,146.78353881835938,147.8086807909047,145.0585291708209,146.74410160351695,51011300
2023-02-23,147.26654052734375,148.19311959888688,145.13739706863274,147.946689634791,48394200
2023-02-24,144.61492919921875,145.08807039598366,143.6390613800591,145.00921102304162,55469600
2023-02-27,145.80764770507812,147.03979725813033,145.34435826985944,145.60065500306268,44998500
2023-02-28,145.3049774169922,146.95112788301643,144.73325805691135,144.95011764317968,50547000
2023-03-01,143.23492431640625,145.12750429739225,142.9392054041828,144.73322244168676,55479000
2023-03-02,143.82635498046875,144.61493369350907,141.8450488958328,142.31820514818978,52238100
2023-03-03,148.87326049804688,148.9521198871165,145.22610023869615,145.9259528752422,70732300
2023-03-06,151.63328552246094,154.0680147422593,151.26857399298945,151.59384830577196,87558000
2023-03-07,149.4351043701172,151.83039589059405,148.9718149331636,151.50510660246357,56182000
2023-03-08,150.68698120117188,151.278419098267,149.66183922588297,150.62784041964048,47204800
2023-03-09,148.4395294189453,152.33311931510104,148.08466971716794,151.36711819838627,53833600
2023-03-10,146.37940979003906,148.78456882882224,145.5021196528658,148.0649974904625,68572400
2023-03-13,148.32127380371094,150.95314411845015,145.59082548311505,145.69925527320058,84457100
2023-03-14,150.41098022460938,151.209410853691,147.95654755608294,149.11968969699433,73695900
2023-03-15,150.80528259277344,151.06156433450928,147.77911548729296,149.03098388604963,77167900
2023-03-16,153.6244354248047,154.22572509887632,149.47454848721353,149.98712698991974,76161100
2023-03-17,152.78656005859375,154.50171782493953,152.07684064085686,153.8511391851991,98944600
2023-03-20,155.1522674560547,155.5662829465371,151.94867858194203,152.85555389921097,73641400
2023-03-21,157.0054473876953,157.1237289497417,154.3045697408097,155.07344501678244,73938300
2023-03-22,155.576171875,159.824622189753,155.55645326577164,157.02518131500096,75701800
2023-03-23,156.66043090820312,159.24302685232914,155.4282812343858,156.56186795883147,67622100
2023-03-24,157.96157836914062,158.0502895303303,155.59585715875076,156.59142861861952,59196500
2023-03-27,156.0197296142578,158.47417734472043,155.61558088418133,157.6560281012329,52390300
2023-03-28,155.3987274169922,156.226743517172,153.7525770821358,155.71416498675424,45992200
2023-03-29,158.47415161132812,158.7501519087846,157.0744315196879,157.09413508315754,51305700
2023-03-30,160.04144287109375,160.14987263415844,158.96701206310877,159.2232937572216,49501700
2023-03-31,162.54518127441406,162.64375926608275,159.59788883873148,160.120319104618,68749800
2023-04-03,163.7970428466797,163.91532439911353,161.87489241518372,161.92418140899423,56976200
2023-04-04,163.2647705078125,164.45748300799937,162.75219201536794,164.22091988909426,46278300
2023-04-05,161.42144775390625,162.69303455117807,159.489445623491,162.38746386000238,51511700
2023-04-06,162.3086700439453,162.6043890725921,159.68665105264884,160.11050346235672,45390100
2023-04-10,159.71617126464844,159.71617126464844,157.7940207437735,159.11488161033475,47716900
2023-04-11,158.5037384033203,160.04145880285023,158.21787125365222,160.03160702009572,47644200
2023-04-12,157.813720703125,159.74572277857914,157.49828319805357,158.9177218890988,50133100
2023-04-13,163.19577026367188,163.43234843413578,159.11489082873655,159.3218986080038,68445600
2023-04-14,162.8507537841797,163.9449032227771,161.48060404043056,162.23959735915352,49386500
2023-04-17,162.8704833984375,163.02820218114718,161.6876226098968,162.73248322378927,41516200
2023-04-18,164.09278869628906,165.01936778477705,163.28449117964493,163.72807715584273,49923000
2023-04-19,165.23622131347656,165.75865162452376,163.1760554202755,163.43235220441335,47720200
2023-04-20,164.2701873779297,165.47276665465435,163.1957564794937,163.71818673436218,52456400
2023-04-21,162.66348266601562,164.07305473489896,162.14105238473394,162.69305305620966,58337300
2023-04-24,162.9690399169922,163.23518844762253,161.5496011414824,162.64375061086378,41949600
2023-04-25,161.4313507080078,163.93507261234095,161.3919134894812,162.8310711478655,48714100
2023-04-26,161.42144775390625,162.91974586384254,160.47516529354857,160.73144699304368,45498800
2023-04-27,166.00506591796875,166.1529178634098,162.83104713478986,162.83104713478986,64902300
2023-04-28,167.2569122314453,167.42449781718415,165.48262879614657,166.08391841749662,55275900
2023-05-01,167.168212890625,168.01593249804148,166.2317821133474,166.86264216717663,52472900
2023-05-02,166.1332244873047,167.91739013162538,165.14750459229282,167.66109333275145,48425700
2023-05-03,165.0587921142578,168.47924132633688,164.7729399649435,167.07952089132834,65136000
2023-05-04,163.4224853515625,164.6546351492701,161.9636242025262,162.53534351356944,81235400
2023-05-05,171.0913848876953,171.8109560965244,168.32149974515366,168.5383592942621,113453200
2023-05-08,171.0223846435547,171.36739258858663,169.65223472844943,170.0169462399646,55962800
2023-05-09,169.31710815429688,171.06182151405454,169.14953757945023,170.5788283985824,45326900
2023-05-10,171.08151245117188,171.54480192353225,169.44521410372417,170.5492304195713,53724500
2023-05-11,171.26881408691406,172.09681510347738,169.71137500858376,171.36739208260082,49514700
2023-05-12,170.34097290039062,171.81171738299747,168.79124488441096,171.3773983196224,45533100
2023-05-15,169.847412109375,170.97268634600138,169.2551561693846,170.92332917405315,37266700
2023-05-16,169.847412109375,170.903583292935,169.58089543020992,169.76844364659667,42110300
2023-05-17,170.4594268798828,170.6963172454511,168.21874344813716,169.4920894098534,57951600
2023-05-18,172.78890991210938,172.97645812210007,170.35081330561755,170.76538642479474,65496700
2023-05-19,172.89752197265625,174.11163026725697,172.68036243226308,174.11163026725697,55809500
2023-05-22,171.9499053955078,172.45332751081392,171.2095929310653,171.73274586766902,43570900
2023-05-23,169.34400939941406,171.1405082441651,169.06762727894406,170.89373741791002,50747300
2023-05-24,169.620361328125,170.19287135053577,168.3174194294986,168.88004898113246,45143500
2023-05-25,170.75555419921875,171.6537886011476,169.47234283142473,170.1830440486123,56058300
2023-05-26,173.1639862060547,173.49960591702484,170.87396117733175,171.08125526170468,54835000
2023-05-30,175.00985717773438,176.67803022234617,174.28929064745816,174.6742524991613,55964400
2023-05-31,174.9604949951172,177.03337571367211,174.4768188110026,175.03946345752533,99625300
2023-06-01,177.76380920410156,177.79342049505456,174.64462268903534,175.40468096744894,68901800
2023-06-02,178.61270141601562,179.43198227661338,176.94452840385708,178.69166987914852,61996900
2023-06-05,177.26040649414062,182.56103856696868,175.74028990045602,180.27101332814428,121946500
2023-06-06,176.8951873779297,177.79342164547316,175.13816542041533,177.64536518975015,64848400
2023-06-07,175.52313232421875,178.8693435880805,175.0295907510138,176.13511905525095,61944600
2023-06-08,178.2376251220703,178.50412674833163,175.1677956906412,175.60209965770608,50214900
2023-06-09,178.62258911132812,179.87617397731293,178.2968498358667,179.1556074319137,48900000
2023-06-12,181.416015625,181.51472997018058,178.63244881890137,178.92857679274874,54274900
