date,close,high,low,open,volume,daily_return,log_return,sma_20,sma_50,sma_200,volatility_20,volatility_annual,cumulative_return,rolling_max,drawdown,max_drawdown
2023-01-03,123.09602355957031,128.8340031338152,122.21022673136561,128.22379338136977,112117500,,,,,,,,,,,
2023-01-04,124.36566162109375,126.62936374107429,123.10586505340991,124.88729543343348,89113600,0.010314208573187766,0.010261380069560042,,,,,,1.0103142085731878,1.0103142085731878,0.0,0.0
2023-01-05,123.04679870605469,125.7533952948206,122.79090770776376,125.12349705306252,80962700,-0.010604719163214482,-0.010661349922174544,,,,,,0.9996001101246638,1.0103142085731878,-0.010604719163214526,-0.010604719163214526
2023-01-06,127.57423400878906,128.23365775829015,122.91889066257082,124.02121667603627,87754700,0.03679441765526881,0.036133662395426154,,,,,,1.0363798140648433,1.0363798140648433,0.0,-0.010604719163214526
2023-01-09,128.0958251953125,131.30438194257326,127.83993420444634,128.41078181603234,70790800,0.004088530811695801,0.004080195481375986,,,,,,1.040617084867267,1.040617084867267,0.0,-0.010604719163214526
2023-01-10,128.6667022705078,129.18833615231142,126.09789493911427,128.20411901412172,63896200,0.00445664075565988,0.004446739339384675,,,,,,1.0452547413787223,1.0452547413787223,0.0,-0.010604719163214526
2023-01-11,131.38316345214844,131.40283698381694,128.40098644639082,129.17851145026387,69458900,0.021112386761335866,0.02089260830720344,,,,,,1.06732256374283,1.06732256374283,0.0,-0.010604719163214526
2023-01-12,131.30441284179688,132.14098840377943,129.36550386584642,131.76699610111268,71379600,-0.0005993965153704428,-0.0005995762252770112,,,,,,1.0666828143173464,1.06732256374283,-0.0005993965153704681,-0.010604719163214526
2023-01-13,132.63307189941406,132.7905502170586,129.58200833933589,129.94616380817476,57809700,0.010118921587334961,0.010068068067746412,,,,,,1.0774764940739814,1.0774764940739814,0.0,-0.010604719163214526
2023-01-17,133.79446411132812,135.12314807764807,132.01303370787318,132.7019826183309,63646600,0.008756430016148897,0.008718314823241572,,,,,,1.0869113415883858,1.0869113415883858,0.0,-0.010604719163214526
2023-01-18,133.0760040283203,136.42233624485746,132.898837136548,134.6605941996835,69672800,-0.005369878998954691,-0.005384348622518163,,,,,,1.0810747592014647,1.0869113415883858,-0.005369878998954639,-0.010604719163214526
2023-01-19,133.13502502441406,134.09955338686564,131.65869966602656,131.96380450388668,58280400,0.0004435134382392292,0.00044341511522492434,,,,,,1.0815542303849117,1.0869113415883858,-0.004928747174213206,-0.010604719163214526
2023-01-20,135.69400024414062,135.84164181281548,132.10161400912494,133.14488168206822,80223600,0.01922090163168777,0.019038513505862532,,,,,,1.1023426778564758,1.1023426778564758,0.0,-0.010604719163214526
2023-01-23,138.88287353515625,141.0579999020067,135.72353008280908,135.94005904305521,81760300,0.023500473751810746,0.023228588993365547,,,,,,1.1282482530229427,1.1282482530229427,0.0,-0.010604719163214526
2023-01-24,140.28045654296875,140.90051809732327,138.0856567013407,138.0954934654877,66435100,0.010063033491733764,0.010012738303538844,,,,,,1.1396018529801026,1.1396018529801026,0.0,-0.010604719163214526
2023-01-25,139.6210479736328,140.1820439497328,136.61918260935104,138.6663561197799,65799300,-0.004700644591457803,-0.004711727365672821,,,,,,1.1342449896934765,1.1396018529801026,-0.004700644591457708,-0.010604719163214526
2023-01-26,141.68789672851562,141.9733130723702,139.66039693887691,140.91035682918778,54105100,0.01480327489930544,0.014694775875450514,,,,,,1.151035530079069,1.151035530079069,0.0,-0.010604719163214526
